Marca,Modelo,Precio,Provincia,Año,Kilometraje,Transmisión,Dirección,Motor,Tracción,Color,Combustible,Enlace
VOLKSWAGEN,AMAROK,13900.0,PICHINCHA,2012,288000,MANUAL,HIDRAULICA,2000,4x2,PLOMO,DIESEL,
VOLVO,XC90 T6,15777.0,PICHINCHA,2006,110600,AUTOMATICA,HIDRAULICA,3000,AWD,AZUL,GASOLINA,
VOLKSWAGEN,POLO TRENDLINE,11900.0,TUNGURAHUA,2018,150000,AUTOMATICA,HIDRAULICA,1600,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,GOL,11000.0,PICHINCHA,2014,115000,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,POLO,13800.0,CHIMBORAZO,2019,50000,MANUAL,ELECTRONICA,1600,4x2,PLOMO,GASOLINA,
VOLVO,C30,13900.0,PICHINCHA,2011,115000,MANUAL,MECANICA,2000,4x2,NEGRO,GASOLINA,
VOLVO,XC90 T6,14900.0,PICHINCHA,2004,156000,SECUENCIAL,MECANICA,2900,4x4,ROJO,GASOLINA,
RENAULT,SANDERO,8500.0,PICHINCHA,2015,132300,MANUAL,HIDRAULICA,1600,4x2,ROJO,GASOLINA,
RENAULT,LOGAN,7990.0,PICHINCHA,2012,192195,MANUAL,HIDRAULICA,1400,4x2,PLOMO,GASOLINA,
RENAULT,LOGAN DYNAMIQUE,7990.0,BOLIVAR,2012,155000,MULTITRONIC,MECANICA,1999,AWD,AMARILLO,GASOLINA,
VOLVO,C30,11800.0,PICHINCHA,2010,150000,MANUAL,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,JETTA,11700.0,PICHINCHA,2011,83564,MANUAL,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,JETTA EUROPA 2.0,11700.0,PICHINCHA,2011,83546,MANUAL,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,JETTA 2500,11900.0,PICHINCHA,2014,108142,AUTOMATICA,HIDRAULICA,2500,4x2,PLOMO,GASOLINA,
RENAULT,CLIO,7900.0,IMBABURA,2008,201000,MANUAL,ASISTIDA,1600,4x2,PLOMO,GASOLINA,
RENAULT,SANDERO DYNAMIC,7900.0,PICHINCHA,2009,193000,MANUAL,HIDRAULICA,1600,4x2,ROJO,GASOLINA,
RENAULT,SANDERO DYNAMIC,7900.0,PICHINCHA,2009,193000,MANUAL,ASISTIDA,1600,4x2,ROJO,GASOLINA,
RENAULT,SANDERO,6900.0,TUNGURAHUA,2010,275056,MANUAL,HIDRAULICA,1600,4x2,AZUL,GASOLINA,
RENAULT,LOGAN,7490.0,LOJA,2011,210000,AUTOMATICA,ELECTRONICA,2000,4x4,PLOMO,DIESEL,
RENAULT,LOGAN,7990.0,PICHINCHA,2013,121000,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
RENAULT,LOGAN,8400.0,PICHINCHA,2014,118000,MANUAL,ASISTIDA,1400,4x2,PLOMO,GASOLINA,
RENAULT,LOGAN,8500.0,GALAPAGOS,2014,182000,MANUAL,ASISTIDA,3604,4x2,CELESTE,GASOLINA,
RENAULT,LOGAN,8400.0,PICHINCHA,2015,118000,MANUAL,ASISTIDA,1400,4x2,PLOMO,GASOLINA,
RENAULT,LOGAN,9990.0,PICHINCHA,2019,91142,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
VOLVO,XC90,13900.0,PICHINCHA,2010,155728,AUTOMATICA,HIDRAULICA,2500,4x4,PLOMO,GASOLINA,
RENAULT,KOLEOS,9900.0,PICHINCHA,2010,215260,AUTOMATICA,HIDRAULICA,2500,4x2,PLOMO,GASOLINA,
RENAULT,KOLEOS,9900.0,PICHINCHA,2011,173000,CVT,HIDRAULICA,2500,4x4,AMARILLO,GASOLINA,
RENAULT,KOLEOS,9900.0,PICHINCHA,2011,247000,AUTOMATICA,ELECTRONICA,2000,4x4,PLOMO,GASOLINA,
RENAULT,SYMBOL,5300.0,PICHINCHA,2004,247189,MANUAL,HIDRAULICA,1400,4x2,PLOMO,GASOLINA,
RENAULT,SCENIC,6400.0,AZUAY,2002,295000,MANUAL,HIDRAULICA,1600,4x2,VINO,GASOLINA,
RENAULT,SCENIC,6400.0,AZUAY,2002,295000,MANUAL,HIDRAULICA,1600,4x2,VINO,GASOLINA,
RENAULT,SCENIC,6400.0,AZUAY,2002,295000,MANUAL,HIDRAULICA,1600,4x2,ROJO,GASOLINA,
RENAULT,SCENIC,5900.0,TUNGURAHUA,2004,402308,MANUAL,HIDRAULICA,1600,4x2,BLANCO,GASOLINA,
RENAULT,MEGANE,5900.0,PICHINCHA,2001,243685,MANUAL,HIDRAULICA,1600,4x2,AZUL,GASOLINA,
RENAULT,MEGANE,5000.0,PICHINCHA,2002,200000,MANUAL,HIDRAULICA,1600,4x2,ROJO,GASOLINA,
RENAULT,CLIO,6990.0,PICHINCHA,2007,222222,MANUAL,HIDRAULICA,1400,4x2,PLOMO,GASOLINA,
RENAULT,CLIO,6300.0,PICHINCHA,2008,196381,MANUAL,HIDRAULICA,1400,4x2,PLOMO,GASOLINA,
RENAULT,KOLEOS,6900.0,PICHINCHA,2011,247000,MULTITRONIC,ASISTIDA,4400,4x2,NEGRO,GASOLINA,
VOLKSWAGEN,POLO TRENDLINE,13500.0,COTOPAXI,2018,84000,AUTOMATICA,HIDRAULICA,2378,AWD,BLANCO,ELECTRICO,
VOLKSWAGEN,POLO TRENDLINE,13600.0,TUNGURAHUA,2018,71000,MANUAL,HIDRAULICA,1600,4x2,CREMA,GASOLINA,
RENAULT,KOLEOS,33500.0,PICHINCHA,2022,40117,AUTOMATICA,ASISTIDA,2500,4x4,AZUL,GASOLINA,
RENAULT,KOLEOS,33500.0,PICHINCHA,2022,21993,AUTOMATICA,HIDRAULICA,2500,4x4,NEGRO,GASOLINA,
VOLKSWAGEN,POLO TRENDLINE,12800.0,PICHINCHA,2018,92000,MANUAL,HIDRAULICA,1991,4x4,ROSADO,GASOLINA,
VOLVO,XC90,15777.0,PICHINCHA,2006,110600,TIPTRONIC,HIDRAULICA,3000,AWD,AZUL,GASOLINA,
VOLVO,S60,15800.0,PICHINCHA,2011,143758,MANUAL,HIDRAULICA,1600,4x4,BLANCO,GASOLINA,
VOLVO,S80,19900.0,PICHINCHA,2008,71000,AUTOMATICA,MECANICA,3200,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,AMAROK TDI,13900.0,PICHINCHA,2012,288000,MANUAL,HIDRAULICA,2000,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,VIRTUS,16900.0,PICHINCHA,2020,56000,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,VIRTUS,15990.0,PICHINCHA,2020,56000,MANUAL,ASISTIDA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,VIRTUS,15990.0,PICHINCHA,2020,56000,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,TRANSPORTER,17400.0,GUAYAS,2012,235000,MANUAL,HIDRAULICA,2000,4x2,BLANCO,DIESEL,
VOLKSWAGEN,POLO TRENDLINE,13600.0,TUNGURAHUA,2018,71000,MANUAL,HIDRAULICA,1600,4x2,AMARILLO,GASOLINA,
RENAULT,KWID,12900.0,PICHINCHA,2023,22000,MANUAL,ELECTRONICA,1000,4x2,ROJO,GASOLINA,
RENAULT,KWID,12900.0,PICHINCHA,2023,21000,MANUAL,ELECTRONICA,1000,4x2,ROJO,GASOLINA,
RENAULT,LOGAN EXPRESSION 1.6,12500.0,NAPO,2017,60000,MANUAL,HIDRAULICA,1600,4x2,VINO,GASOLINA,
RENAULT,TWINGO,3900.0,BOLIVAR,2002,280000,CVT,ELECTRONICA,3300,4x2,CELESTE,HIBRIDO,
RENAULT,TWINGO,4500.0,LOJA,2004,243450,MANUAL,MECANICA,1200,4x2,BLANCO,GASOLINA,
RENAULT,KOLEOS,22900.0,PICHINCHA,2020,27034,AUTOMATICA,MECANICA,2500,4x4,PLOMO,GASOLINA,
TOYOTA,HILUX CD,26000.0,IMBABURA,2015,155000,MANUAL,HIDRAULICA,2500,4x2,BLANCO,DIESEL,
VOLKSWAGEN,POLO TRENDLINE,12900.0,TUNGURAHUA,2018,83000,MANUAL,HIDRAULICA,1600,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,POLO,12777.0,PICHINCHA,2017,62500,AUTOMATICA,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,POLO,12800.0,PICHINCHA,2017,156479,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
RENAULT,LOGAN EXPRESSION 1.6,10900.0,PICHINCHA,2016,195811,MANUAL,HIDRAULICA,1600,4x2,NEGRO,GASOLINA,
RENAULT,LOGAN EXPRESSION 1.6,10900.0,PICHINCHA,2017,86000,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
RENAULT,LOGAN EXPRESSION 1.6,10500.0,CHIMBORAZO,2021,118000,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
RENAULT,KWID,12400.0,PICHINCHA,2023,15320,MANUAL,MECANICA,1000,4x2,ROJO,GASOLINA,
RENAULT,KWID,12400.0,PICHINCHA,2023,17372,MANUAL,HIDRAULICA,1000,AWD,PLOMO,GASOLINA,
VOLKSWAGEN,JETTA,14990.0,PICHINCHA,2017,118000,MANUAL,HIDRAULICA,2000,4x2,NEGRO,GASOLINA,
VOLKSWAGEN,JETTA,13000.0,PICHINCHA,2016,142468,MANUAL,HIDRAULICA,2000,4x2,PLOMO,GASOLINA,
TOYOTA,HILUX CD,28900.0,CHIMBORAZO,2015,72300,MANUAL,HIDRAULICA,2700,4x4,BLANCO,GASOLINA,
TOYOTA,HILUX CD,23300.0,GUAYAS,2020,95876,MANUAL,HIDRAULICA,2700,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,JETTA,14900.0,PICHINCHA,2016,142468,MANUAL,HIDRAULICA,2000,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,NEW JETTA,12900.0,PICHINCHA,2014,138000,MANUAL,HIDRAULICA,2500,4x2,NEGRO,GASOLINA,
VOLKSWAGEN,NEW JETTA,12990.0,PICHINCHA,2014,145499,AUTOMATICA,ASISTIDA,2500,4x2,ROJO,GASOLINA,
VOLKSWAGEN,JETTA 2500,13490.0,PICHINCHA,2014,144659,AUTOMATICA,HIDRAULICA,2500,4x2,ROJO,GASOLINA,
VOLKSWAGEN,NEW JETTA,13990.0,PICHINCHA,2014,113250,MANUAL,HIDRAULICA,2500,4x2,CREMA,GASOLINA,
VOLKSWAGEN,JETTA EUROPA 2.0,13500.0,MORONA SANTIAGO,2011,73000,MANUAL,ELECTRONICA,3497,AWD,ROSADO,GASOLINA,
VOLKSWAGEN,POLO TRACK,16900.0,PICHINCHA,2024,30100,MANUAL,ASISTIDA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,POLO TRACK,16900.0,PICHINCHA,2024,30100,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,POLO TRENDLINE,15990.0,PICHINCHA,2022,39000,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,POLO,17300.0,GALAPAGOS,2022,31000,SPEEDTRONIC,ASISTIDA,1300,4x2,BLANCO,HIBRIDO,
VOLKSWAGEN,POLO,15900.0,PICHINCHA,2021,40000,MANUAL,ELECTRONICA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,POLO TRENDLINE,15900.0,PICHINCHA,2021,40000,MANUAL,ELECTRONICA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,JETTA 2500,16800.0,TUNGURAHUA,2018,82500,AUTOMATICA,HIDRAULICA,2500,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,GOLF,19900.0,PICHINCHA,2013,69000,AUTOMATICA,HIDRAULICA,2500,4x2,ROJO,GASOLINA,
VOLVO,V60,24900.0,PICHINCHA,2018,49000,SECUENCIAL,HIDRAULICA,1500,4x2,NEGRO,GASOLINA,
VOLKSWAGEN,T-CROSS TRENDLINE,19600.0,PICHINCHA,2021,82500,MANUAL,ELECTRONICA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,T-CROSS TRENDLINE,17400.0,GUAYAS,2022,40593,MANUAL,ASISTIDA,1600,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,T-CROSS CONFORTLINE AC,20990.0,ESMERALDAS,2022,27000,DSG,ASISTIDA,1206,4x4,NARANJA,ELECTRICO,
VOLKSWAGEN,T-CROSS TRENDLINE,20900.0,PICHINCHA,2021,28000,MANUAL,ELECTRONICA,1600,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,T-CROSS TRENDLINE,21900.0,COTOPAXI,2023,28000,MANUAL,MECANICA,2384,4x2,PLOMO,GASOLINA,
PEUGEOT,207 COMPACT,7990.0,PICHINCHA,2009,114000,MANUAL,HIDRAULICA,1400,4x2,PLOMO,GASOLINA,
PEUGEOT,207 COMPACT,8900.0,PICHINCHA,2011,178963,MANUAL,HIDRAULICA,1400,4x2,NEGRO,GASOLINA,
PEUGEOT,207 COMPACT,7800.0,PICHINCHA,2012,185000,MANUAL,HIDRAULICA,1400,4x2,PLOMO,GASOLINA,
PEUGEOT,BERLINA 206 XS,7900.0,PICHINCHA,2006,198895,MANUAL,HIDRAULICA,1600,4x2,CELESTE,GASOLINA,
PEUGEOT,BERLINA  607 IVOIRE,9900.0,PICHINCHA,2004,134552,AUTOMATICA,HIDRAULICA,3000,4x2,AZUL,GASOLINA,
MITSUBISHI,MONTERO 5P,8800.0,PICHINCHA,2002,210000,AUTOMATICA,ASISTIDA,2400,4x4,ROJO,HIBRIDO,
MITSUBISHI,MONTERO 5P,8800.0,PICHINCHA,2002,210000,AUTOMATICA,ASISTIDA,2500,4x4,ROJO,GASOLINA,
MITSUBISHI,MONTERO 5P,7000.0,GUAYAS,2002,279622,TIPTRONIC,HIDRAULICA,3500,4x4,PLOMO,GASOLINA,
MITSUBISHI,MONTERO 5P,9790.0,PICHINCHA,2002,333000,AUTOMATICA,HIDRAULICA,3000,4x4,BLANCO,GASOLINA,
PEUGEOT,BERLINA 206 XT 5P,7800.0,PICHINCHA,2007,220000,MANUAL,HIDRAULICA,1600,4x2,AMARILLO,GASOLINA,
MITSUBISHI,OUTLANDER,8300.0,PICHINCHA,2006,261965,AUTOMATICA,HIDRAULICA,2400,4x2,BLANCO,GASOLINA,
PEUGEOT,BERLINA 206 CONFORT,8500.0,PICHINCHA,2008,137411,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
PEUGEOT,3008,9900.0,LOS RIOS,2012,140000,ECVT,MECANICA,1969,AWD,ROJO,GASOLINA,
PEUGEOT,3008,9900.0,PICHINCHA,2012,140000,MANUAL,MECANICA,5300,4x4,ROJO,GASOLINA,
NISSAN,X-TRAIL CLASSIC,8500.0,PICHINCHA,2010,205754,AUTOMATICA,ASISTIDA,2500,4x2,BLANCO,GASOLINA,
NISSAN,PATHFINDER,8300.0,PICHINCHA,2002,336266,AUTOMATICA,HIDRAULICA,3500,4x4,AMARILLO,GASOLINA,
NISSAN,X-TRAIL CLASSIC,9900.0,PICHINCHA,2012,181815,AUTOMATICA,HIDRAULICA,2500,4x2,CREMA,GASOLINA,
NISSAN,X-TRAIL,9900.0,PICHINCHA,2011,207000,AUTOMATICA,MECANICA,2500,4x4,CREMA,GASOLINA,
NISSAN,X-TRAIL CLASSIC,9490.0,PICHINCHA,2009,209000,AUTOMATICA,HIDRAULICA,2500,4x2,CREMA,GASOLINA,
NISSAN,X-TRAIL,7900.0,PICHINCHA,2002,209000,AUTOMATICA,HIDRAULICA,2000,4x4,PLOMO,GASOLINA,
NISSAN,X-TRAIL,8500.0,PICHINCHA,2003,256000,AUTOMATICA,HIDRAULICA,2500,4x4,AZUL,GASOLINA,
NISSAN,SENTRA 2.0 MT,7100.0,GUAYAS,2013,132000,MANUAL,HIDRAULICA,2000,4x2,ROJO,GASOLINA,
NISSAN,SENTRA,7100.0,GUAYAS,2013,132000,MANUAL,HIDRAULICA,2000,4x2,ROJO,GASOLINA,
NISSAN,SENTRA,8700.0,PICHINCHA,2010,120000,AUTOMATICA,HIDRAULICA,2000,4x2,PLOMO,GASOLINA,
NISSAN,PATROL GRX 4X4,8500.0,EL ORO,2001,346438,AUTOMATICA,HIDRAULICA,4000,4x4,AZUL,GASOLINA,
NISSAN,FRONTIER,9000.0,LOS RIOS,2012,204500,MANUAL,ASISTIDA,1488,4x2,AMARILLO,GASOLINA,
NISSAN,FRONTIER,8990.0,LOJA,2005,274000,MANUAL,HIDRAULICA,2400,4x2,PLOMO,GASOLINA,
NISSAN,FRONTIER,8900.0,LOJA,2005,270000,MANUAL,HIDRAULICA,2400,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,AMAROK,23800.0,AZUAY,2018,97000,MANUAL,HIDRAULICA,2000,4x2,BLANCO,DIESEL,
VOLKSWAGEN,AMAROK TDI,23800.0,AZUAY,2018,97000,MANUAL,HIDRAULICA,2000,4x2,BLANCO,DIESEL,
VOLKSWAGEN,AMAROK BI,23800.0,AZUAY,2018,97000,MANUAL,HIDRAULICA,2000,4x2,BLANCO,DIESEL,
VOLKSWAGEN,AMAROK,22500.0,PICHINCHA,2015,142669,MANUAL,HIDRAULICA,2000,4x4,BLANCO,DIESEL,
VOLKSWAGEN,AMAROK,22500.0,PICHINCHA,2015,142669,MANUAL,HIDRAULICA,2000,4x4,BLANCO,DIESEL,
VOLVO,XC60 T5 RDESIGN,24900.0,PICHINCHA,2014,81000,AUTOMATICA,ASISTIDA,2000,4x2,BLANCO,GASOLINA,
VOLVO,XC60,24900.0,PICHINCHA,2014,81000,AUTOMATICA,ASISTIDA,2000,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,AMAROK TDI,27800.0,COTOPAXI,2019,106000,MANUAL,HIDRAULICA,2000,4x2,PLOMO,DIESEL,
VOLKSWAGEN,AMAROK,28000.0,PICHINCHA,2018,54000,MANUAL,MECANICA,2500,4x4,ROJO,DIESEL,
VOLKSWAGEN,AMAROK,27900.0,PICHINCHA,2018,104000,MANUAL,ELECTRONICA,2000,4x4,BLANCO,DIESEL,
VOLKSWAGEN,AMAROK,28500.0,MORONA SANTIAGO,2018,89000,MANUAL,MECANICA,2000,4x4,ROJO,DIESEL,
VOLKSWAGEN,AMAROK,28000.0,TUNGURAHUA,2017,82000,MANUAL,MECANICA,3956,4x2,VINO,DIESEL,
VOLVO,XC60,29900.0,PICHINCHA,2014,85223,AUTOMATICA,ASISTIDA,2000,4x2,AMARILLO,GASOLINA,
MERCEDES BENZ,C320,7900.0,PICHINCHA,2001,174154,AUTOMATICA,HIDRAULICA,3000,4x2,AZUL,GASOLINA,
MERCEDES BENZ,ML 320,9300.0,PICHINCHA,2002,250000,AUTOMATICA,HIDRAULICA,3500,4x4,BLANCO,GASOLINA,
NISSAN,TIIDA,8400.0,PICHINCHA,2011,205000,AUTOMATICA,HIDRAULICA,1600,4x2,ROJO,GASOLINA,
NISSAN,TIIDA,9900.0,PICHINCHA,2012,248902,MANUAL,HIDRAULICA,1600,4x4,PLOMO,GASOLINA,
NISSAN,TIIDA ENTRY,9200.0,PICHINCHA,2014,205000,MANUAL,HIDRAULICA,1600,4x2,PLOMO,GASOLINA,
NISSAN,TIIDA ENTRY,8200.0,PICHINCHA,2014,160000,MANUAL,ELECTRONICA,1600,4x4,BLANCO,GASOLINA,
NISSAN,TIIDA,9800.0,PICHINCHA,2014,179000,MANUAL,ASISTIDA,1600,4x2,BLANCO,GASOLINA,
NISSAN,TIIDA,9990.0,CHIMBORAZO,2015,100000,MANUAL,ELECTRONICA,1600,4x2,CREMA,GASOLINA,
NISSAN,TIIDA,9900.0,EL ORO,2016,165000,9G-TRONIC,MECANICA,2499,4x2,CREMA,ELECTRICO,
MERCEDES BENZ,GLC 250,48000.0,IMBABURA,2018,92000,MULTITRONIC,ASISTIDA,2200,4x2,VERDE,HIBRIDO,
MERCEDES BENZ,GLC 250,45000.0,PICHINCHA,2018,87400,9G-TRONIC,ELECTRONICA,2000,4x4,PLOMO,GASOLINA,
MAZDA,CX7,9900.0,PICHINCHA,2011,162000,AUTOMATICA,HIDRAULICA,3000,4x2,PLOMO,GASOLINA,
MAZDA,CX7,9800.0,SANTO DOMINGO DE LOS TSACHILAS,2007,125000,AUTOMATICA,HIDRAULICA,2300,4x2,NEGRO,GASOLINA,
MERCEDES BENZ,GLC 300,42000.0,PICHINCHA,2016,75000,9G-TRONIC,ELECTRONICA,1496,AWD,ROJO,GASOLINA,
MERCEDES BENZ,E550,36500.0,PICHINCHA,2007,46332,AUTOMATICA,HIDRAULICA,5500,4x2,NEGRO,GASOLINA,
MERCEDES BENZ,C250 SPORT,43900.0,PICHINCHA,2018,48171,AUTOMATICA,ELECTRONICA,2000,4x2,PLOMO,GASOLINA,
MERCEDES BENZ,GL450 4MATIC,49500.0,PICHINCHA,2013,75000,AUTOMATICA,ASISTIDA,4700,AWD,PLOMO,GASOLINA,
MERCEDES BENZ,C200 KIT ESTETICO  AMG,36000.0,PICHINCHA,2019,51000,AUTOMATICA,HIDRAULICA,1991,4x2,BLANCO,GASOLINA,
VOLVO,XC40 T4,31900.0,TUNGURAHUA,2019,91330,AUTOMATICA,ELECTRONICA,2000,AWD,PLOMO,GASOLINA,
VOLVO,XC40 T4,32900.0,PICHINCHA,2020,54574,AUTOMATICA,HIDRAULICA,2000,4x2,BLANCO,GASOLINA,
VOLVO,XC40 KINETIC,33990.0,PICHINCHA,2020,64000,AUTOMATICA,ELECTRONICA,2000,4x2,PLOMO,GASOLINA,
VOLVO,XC40 T4,35500.0,PICHINCHA,2020,60000,AUTOMATICA,ELECTRONICA,2000,4x2,BLANCO,GASOLINA,
MAHINDRA,PICK UP,7300.0,GUAYAS,2013,199497,MANUAL,HIDRAULICA,2200,4x2,NEGRO,DIESEL,
MAHINDRA,PICK UP,9500.0,PICHINCHA,2011,154576,MANUAL,HIDRAULICA,2200,4x2,CAFE,DIESEL,
VOLVO,XC40 T4,35000.0,PICHINCHA,2020,72000,AUTOMATICA,HIDRAULICA,1969,4x2,BLANCO,GASOLINA,
VOLVO,XC40 R DESIGN,35900.0,PICHINCHA,2020,57000,TIPTRONIC,ELECTRONICA,2000,4x2,PLOMO,GASOLINA,
VOLVO,XC40 KINETIC,35900.0,PICHINCHA,2020,57000,TIPTRONIC,ELECTRONICA,2000,4x2,PLOMO,GASOLINA,
VOLVO,XC40 KINETIC,36900.0,PICHINCHA,2019,88670,AUTOMATICA,HIDRAULICA,2000,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,GOL,5900.0,PICHINCHA,2002,311000,MANUAL,ASISTIDA,1800,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,GOL,5590.0,COTOPAXI,2003,438914,MANUAL,ASISTIDA,1800,4x2,VERDE,GASOLINA,
VOLKSWAGEN,GOL,6990.0,PICHINCHA,2010,232188,MANUAL,HIDRAULICA,1600,4x2,BLANCO,GASOLINA,
LAND ROVER,FREELANDER,8800.0,PICHINCHA,2000,200000,MANUAL,ASISTIDA,1800,4x2,PLOMO,GASOLINA,
LAND ROVER,FREELANDER,9500.0,PICHINCHA,2000,211000,MANUAL,HIDRAULICA,1800,4x4,ROJO,GASOLINA,
KIA,SORENTO GLS,7900.0,LOJA,2010,230000,MULTITRONIC,ASISTIDA,1967,AWD,CELESTE,GASOLINA,
KIA,SORENTO,7990.0,PICHINCHA,2006,310749,MANUAL,HIDRAULICA,2500,4x2,PLOMO,DIESEL,
KIA,SORENTO,7900.0,PICHINCHA,2006,209000,MANUAL,HIDRAULICA,2500,4x2,PLOMO,DIESEL,
KIA,PICANTO,7700.0,PICHINCHA,2012,192000,MANUAL,HIDRAULICA,1000,4x2,BLANCO,GASOLINA,
KIA,SPORTAGE ACTIVE,9990.0,PICHINCHA,2010,240000,AUTOMATICA,MECANICA,2700,4x2,CREMA,GASOLINA,
KIA,CERATO,9900.0,PICHINCHA,2015,158000,AUTOMATICA,ASISTIDA,1600,4x2,BLANCO,GASOLINA,
KIA,SOUL,9800.0,PICHINCHA,2011,147000,MANUAL,HIDRAULICA,1500,4x2,NEGRO,GASOLINA,
VOLKSWAGEN,AMAROK TDI,34000.0,AZUAY,2018,76344,MANUAL,HIDRAULICA,2000,4x4,BLANCO,DIESEL,
LAND ROVER,RANGE ROVER EVOQUE,39900.0,PICHINCHA,2016,58632,TIPTRONIC,ELECTRONICA,2000,4x4,PLOMO,GASOLINA,
LAND ROVER,RANGE ROVER SPORT SVR,39900.0,PICHINCHA,2012,89000,AUTOMATICA,ELECTRONICA,4000,4x4,PLOMO,GASOLINA,
LAND ROVER,RANGE ROVER SPORT,39900.0,PICHINCHA,2012,80000,AUTOMATICA,ASISTIDA,5000,4x4,PLOMO,GASOLINA,
LAND ROVER,DISCOVERY SPORT,38500.0,PICHINCHA,2017,110500,TIPTRONIC,ELECTRONICA,2000,4x4,AZUL,GASOLINA,
LAND ROVER,RANGE ROVER SPORT,38000.0,PICHINCHA,2006,136000,AUTOMATICA,HIDRAULICA,4600,AWD,ROJO,GASOLINA,
KIA,RIO,6900.0,PICHINCHA,2011,256909,AUTOMATICA,HIDRAULICA,1600,4x2,NEGRO,GASOLINA,
KIA,PICANTO,6600.0,PICHINCHA,2011,261587,MANUAL,MECANICA,1100,4x2,BLANCO,GASOLINA,
KIA,PICANTO LX,7200.0,PICHINCHA,2007,206500,MANUAL,HIDRAULICA,1200,4x2,ROJO,GASOLINA,
KIA,PICANTO EX,7200.0,PICHINCHA,2007,206500,MANUAL,HIDRAULICA,1200,4x2,ROJO,GASOLINA,
JEEP,GRAND CHEROKEE LIMITED,5400.0,GUAYAS,2001,450000,AUTOMATICA,ELECTRONICA,4000,4x4,VINO,GASOLINA,
JEEP,GRAND CHEROKEE,8400.0,PICHINCHA,2001,212000,AUTOMATICA,HIDRAULICA,4700,4x4,ROJO,GASOLINA,
JEEP,GRAND CHEROKEE LIMITED,8900.0,TUNGURAHUA,2001,191000,AUTOMATICA,HIDRAULICA,4700,4x4,AZUL,GASOLINA,
JEEP,GRAND CHEROKEE LIMITED,9800.0,EL ORO,2001,223000,AUTOMATICA,HIDRAULICA,4700,4x4,VERDE,GASOLINA,
JEEP,CHEROKEE LAREDO,9500.0,PICHINCHA,2001,179000,AUTOMATICA,HIDRAULICA,4700,4x4,AZUL,GASOLINA,
LAND ROVER,DISCOVERY III,27777.0,PICHINCHA,2006,248000,TIPTRONIC,HIDRAULICA,4000,4x4,PLOMO,GASOLINA,
LAND ROVER,RANGE ROVER EVOQUE S14,28990.0,PICHINCHA,2014,108000,AUTOMATICA,ELECTRONICA,2000,AWD,AZUL,GASOLINA,
HYUNDAI,GRAN I10,8900.0,PICHINCHA,2011,158000,MANUAL,HIDRAULICA,1100,4x2,PLOMO,GASOLINA,
KIA,SORENTO GLS,47470.0,PICHINCHA,2023,18166,TIPTRONIC,ELECTRONICA,3500,4x4,AZUL,GASOLINA,
KIA,SPORTAGE GT,30970.0,PICHINCHA,2023,34572,AUTOMATICA,ELECTRONICA,2000,4x2,NEGRO,GASOLINA,
KIA,SPORTAGE,31900.0,PICHINCHA,2023,20000,TIPTRONIC,ELECTRONICA,2000,4x2,ROJO,GASOLINA,
KIA,SPORTAGE GT,31900.0,PICHINCHA,2023,20000,TIPTRONIC,ELECTRONICA,2000,4x2,ROJO,GASOLINA,
HYUNDAI,GRAN I10,8500.0,PICHINCHA,2015,94000,MANUAL,HIDRAULICA,1200,AWD,PLOMO,GASOLINA,
